Game ID,Bet Name,Game Name,Market Name,line_caesars,Odds_caesars,line_pinnacle,Odds_pinnacle,EV_caesars
14412-37337-2024-09-20-17,Brice Turang Over 1.5,Milwaukee Brewers vs Arizona Diamondbacks,Player Bases,1.5,136.0,1.5,131.0,0.1612766318648653
24292-36707-2024-09-20-15,Andrew McCutchen Yes,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs Yes/No,,350.0,,341.0,0.04001600640255276
24292-36707-2024-09-20-15,Andrew McCutchen Over 0.5,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs,0.5,350.0,0.5,341.0,0.04001600640255276
24292-36707-2024-09-20-15,Isiah Kiner-Falefa Yes,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs Yes/No,,750.0,,783.0,-1.0
32800-66793-2024-09-20-15,Jose Berrios Under 5.5,Tampa Bay Rays vs Toronto Blue Jays,Player Hits Allowed,5.5,-111.0,5.5,-112.0,-1.0
24292-36707-2024-09-20-15,Isiah Kiner-Falefa Over 0.5,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs,0.5,750.0,0.5,783.0,-1.0
40548-36174-2024-09-20-11,Cody Bellinger Yes,Chicago Cubs vs Washington Nationals,Player Home Runs Yes/No,,450.0,,464.0,-1.0
16196-34048-2024-09-20-19,Shohei Ohtani Over 0.5,Los Angeles Dodgers vs Colorado Rockies,Player Home Runs,0.5,300.0,0.5,320.0,-1.0
14818-40673-2024-09-20-16,Griffin Conine Yes,Miami Marlins vs Atlanta Braves,Player Home Runs Yes/No,,750.0,,735.0,-1.0
14412-37337-2024-09-20-17,Jackson Chourio Over 0.5,Milwaukee Brewers vs Arizona Diamondbacks,Player Home Runs,0.5,550.0,0.5,539.0,-1.0
37569-25683-2024-09-20-18,Donovan Solano Over 0.5,San Diego Padres vs Chicago White Sox,Player Home Runs,0.5,800.0,0.5,788.0,-1.0
37569-25683-2024-09-20-18,Donovan Solano Yes,San Diego Padres vs Chicago White Sox,Player Home Runs Yes/No,,800.0,,788.0,-1.0
54558-76765-2024-09-20-18,Austin Wells Over 0.5,Oakland Athletics vs New York Yankees,Player Home Runs,0.5,450.0,0.5,457.0,-1.0
54558-76765-2024-09-20-18,Austin Wells Yes,Oakland Athletics vs New York Yankees,Player Home Runs Yes/No,,450.0,,457.0,-1.0
81005-25135-2024-09-20-17,Jordan Walker Over 0.5,St. Louis Cardinals vs Cleveland Guardians,Player Home Runs,0.5,550.0,0.5,547.0,-1.0
81005-25135-2024-09-20-17,Kyle Manzardo Over 0.5,St. Louis Cardinals vs Cleveland Guardians,Player Home Runs,0.5,450.0,0.5,502.0,-1.0
81005-25135-2024-09-20-17,Jordan Walker Yes,St. Louis Cardinals vs Cleveland Guardians,Player Home Runs Yes/No,,550.0,,547.0,-1.0
81005-25135-2024-09-20-17,Kyle Manzardo Yes,St. Louis Cardinals vs Cleveland Guardians,Player Home Runs Yes/No,,450.0,,502.0,-1.0
14412-37337-2024-09-20-17,Ketel Marte Over 1.5,Milwaukee Brewers vs Arizona Diamondbacks,Player Bases,1.5,106.0,1.5,110.0,-1.0
14412-37337-2024-09-20-17,Jackson Chourio Yes,Milwaukee Brewers vs Arizona Diamondbacks,Player Home Runs Yes/No,,550.0,,539.0,-1.0
14818-40673-2024-09-20-16,Griffin Conine Over 0.5,Miami Marlins vs Atlanta Braves,Player Home Runs,0.5,750.0,0.5,735.0,-1.0
60486-26495-2024-09-20-17,Brandon Drury Over 0.5,Houston Astros vs Los Angeles Angels,Player Home Runs,0.5,600.0,0.5,594.0,-1.0
60486-26495-2024-09-20-17,Kyle Tucker Over 0.5,Houston Astros vs Los Angeles Angels,Player Home Runs,0.5,320.0,0.5,323.0,-1.0
60486-26495-2024-09-20-17,Brandon Drury Yes,Houston Astros vs Los Angeles Angels,Player Home Runs Yes/No,,600.0,,594.0,-1.0
60486-26495-2024-09-20-17,Kyle Tucker Yes,Houston Astros vs Los Angeles Angels,Player Home Runs Yes/No,,320.0,,323.0,-1.0
16196-34048-2024-09-20-19,Shohei Ohtani Yes,Los Angeles Dodgers vs Colorado Rockies,Player Home Runs Yes/No,,300.0,,320.0,-1.0
12164-37900-2024-09-20-16,Alec Bohm Over 0.5,New York Mets vs Philadelphia Phillies,Player Home Runs,0.5,600.0,0.5,626.0,-1.0
12164-37900-2024-09-20-16,J.T. Realmuto Over 0.5,New York Mets vs Philadelphia Phillies,Player Home Runs,0.5,600.0,0.5,634.0,-1.0
12164-37900-2024-09-20-16,Alec Bohm Yes,New York Mets vs Philadelphia Phillies,Player Home Runs Yes/No,,600.0,,626.0,-1.0
12164-37900-2024-09-20-16,J.T. Realmuto Yes,New York Mets vs Philadelphia Phillies,Player Home Runs Yes/No,,600.0,,634.0,-1.0
40548-36174-2024-09-20-11,Cody Bellinger Over 0.5,Chicago Cubs vs Washington Nationals,Player Home Runs,0.5,450.0,0.5,464.0,-1.0
